sample	EC50	IC50	Amax	Activity_area
1321N1_CENTRAL_NERVOUS_SYSTEM	0.783196032	8	-24.31695938	0.2496
22RV1_PROSTATE	NA	8	0.692029238	0.245
42MGBA_CENTRAL_NERVOUS_SYSTEM	1.58300364	8	-46.7848587	0.8748
5637_URINARY_TRACT	8.323013746	2.439512491	-76.74845123	1.92
639V_URINARY_TRACT	NA	8	-3.51650691	0.2919
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.536011501	4.232964516	-82.57837677	1.6441
769P_KIDNEY	8.234050367	2.325097322	-68.02005005	1.8863
786O_KIDNEY	8.381701337	8	-16.04618263	0.08267
8305C_THYROID	4.118249416	8	-24.88429642	0.4567
8505C_THYROID	NA	8	-1.35693872	0.07583
8MGBA_CENTRAL_NERVOUS_SYSTEM	8.840923608	7.72138834	-51.02906418	0.5181
A172_CENTRAL_NERVOUS_SYSTEM	NA	8	1.337891936	0.08293
A204_SOFT_TISSUE	NA	8	-1.361821532	0.3697
A2058_SKIN	NA	8	-2.110151529	0
A253_SALIVARY_GLAND	1.207963228	8	-37.42863083	0.8588
A2780_OVARY	8.98629013	8	-47.8158989	0.2241
A375_SKIN	8.040614408	8	-33.58548355	0.2889
A549_LUNG	2.394717693	8	-43.08367538	0.4884
A673_BONE	0.002542614	8	-5.125430584	0.1029
ACHN_KIDNEY	0.513201594	4.997091293	-51.79050446	1.2474
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.806416587	6.930338383	-54.63547134	1.0818
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.553803444	8	-30.04038048	1.0362
AN3CA_ENDOMETRIUM	1.775448561	8	-20.29693031	0.3018
ASPC1_PANCREAS	3.7248404	8	-22.35022354	0.2484
AU565_BREAST	2.978539467	8	-43.89791107	0.491
AZ521_STOMACH	0.738949239	2.985844612	-57.35680008	1.1176
BCPAP_THYROID	7.366518974	8	-22.38445663	0.3177
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	3.431539059	0
BFTC909_KIDNEY	NA	8	-0.557689965	0.04175
BGC823_STOMACH	8.366984248	8	-25.09273148	0.1886
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	-1.137335658	0.01175
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	4.527453423	0.3595
BT20_BREAST	NA	8	-15.24391079	1.3084
BT474_BREAST	0.981348634	8	-27.10237503	0.3156
BT549_BREAST	NA	8	3.977365732	0.2467
BXPC3_PANCREAS	1.015475988	8	-46.18301773	0.7307
C2BBE1_LARGE_INTESTINE	0.560010612	8	-48.82560349	1.128
C32_SKIN	NA	8	-6.059148312	0.286
C3A_LIVER	NA	8	-31.47416878	0.4533
CAKI2_KIDNEY	8.851273649	5.182852745	-61.94696045	1.0932
CAL12T_LUNG	0.476265877	0.595180452	-82.32112885	1.7747
CAL27_UPPER_AERODIGESTIVE_TRACT	0.208415255	0.247576982	-78.48035431	2.316
CAL78_BONE	8.295875317	8	-30.07246971	0.6947
CAL851_BREAST	0.578028142	0.870514452	-73.22431183	2.0234
CALU1_LUNG	NA	8	5.121509552	0.04256
CALU3_LUNG	2.173266649	3.225658417	-68.47550964	1.1767
CALU6_LUNG	8.704103248	7.807984352	-51.7345047	0.4963
CAMA1_BREAST	NA	8	1.737449884	0.003827
CAPAN2_PANCREAS	NA	8	-9.353793144	0.399
CAS1_CENTRAL_NERVOUS_SYSTEM	NA	8	3.509302139	0.08698
CCK81_LARGE_INTESTINE	0.38376525	0.684667587	-68.34850311	1.8156
CHL1_SKIN	2.291917086	3.04977107	-72.51990509	1.207
CHP212_AUTONOMIC_GANGLIA	NA	8	-29.56256676	0.4165
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	8	1.376956463	0.4621
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.4887799	8	-30.97712898	1.1118
COLO201_LARGE_INTESTINE	NA	8	-3.270534039	0.1882
COLO205_LARGE_INTESTINE	0.032082096	8	-16.54992867	0.6326
COLO320_LARGE_INTESTINE	2.291812897	8	-44.01358032	0.6266
COLO677_LUNG	8.779822028	8	-25.01806259	0.369
COLO678_LARGE_INTESTINE	0.189377457	8	-35.84820938	1.1618
COLO679_SKIN	NA	8	4.391588211	0.4867
COLO699_LUNG	8.15036476	8	-26.41511154	0.2241
